Account Statement for 00000001 () since 1/21/21 through 1/21/21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cash Balance,,,,,,,,,,,,,
DATE,TIME,TYPE,DESCRIPTION,Commissions & Fees,AMOUNT,BALANCE,,,,,,,
,1/21/2021 13:26,STOCK,SELL,-2,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:26,STOCK,SELL,-2,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:25,STOCK,SELL,-2,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:25,STOCK,BUY,10,TO OPEN,MARA,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:22,STOCK,SELL,-2,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:22,STOCK,SELL,-100%,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 13:20,STOCK,BUY,1,TO OPEN,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:16,STOCK,SELL,-1,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:13,STOCK,SELL,-1,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:09,STOCK,SELL,-1,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:08,STOCK,SELL,-1,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:08,STOCK,SELL,-1,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:07,STOCK,SELL,-2,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:06,STOCK,SELL,-2,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 12:58,STOCK,BUY,10,TO OPEN,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 12:13,STOCK,SELL,-10,TO CLOSE,HYLN,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 12:13,STOCK,SELL,-100%,TO CLOSE,HYLN,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 12:08,STOCK,BUY,10,TO OPEN,HYLN,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:53,STOCK,SELL,-10,TO CLOSE,HYLN,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:53,STOCK,SELL,-100%,TO CLOSE,HYLN,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 11:51,STOCK,BUY,10,TO OPEN,HYLN,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:47,STOCK,SELL,-4,TO CLOSE,GME,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:47,STOCK,SELL,-100%,TO CLOSE,GME,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 11:46,STOCK,SELL,-2,TO CLOSE,GME,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:46,STOCK,SELL,-2,TO CLOSE,GME,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:46,STOCK,SELL,-2,TO CLOSE,GME,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:46,STOCK,BUY,10,TO OPEN,GME,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:44,STOCK,SELL,-2,TO CLOSE,GME,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 11:44,STOCK,SELL,-100%,TO CLOSE,GME,,,STOCK,~,MKT,DAY,TRIGGERED
